t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
240,0.70028,0.3419325,0.2815015,0.0172539,0.04028335,0.0415834,0.005884688,0.617785,32.49192
241,0.699705,0.340729,0.280428,0.0166266,0.03858275,0.03976985,0.005909708,0.62069,32.6304
242,0.699195,0.3396685,0.2795,0.016012,0.03694115,0.03802575,0.005933156,0.62339,32.7588
243,0.698745,0.338745,0.2787095,0.01541095,0.03535855,0.03635025,0.005955063,0.625895,32.87712
244,0.698355,0.3379505,0.27805,0.0148243,0.03383455,0.03474215,0.005975469,0.628215,32.98608
245,0.698015,0.3372785,0.2775145,0.01425265,0.0323685,0.03320015,0.005994417,0.630355,33.08568
246,0.69773,0.3367225,0.2770955,0.0136965,0.0309596,0.0317228,0.006011938,0.63232,33.17664
247,0.697495,0.336277,0.276787,0.0131562,0.02960685,0.03030845,0.006028083,0.634115,33.25944
248,0.69731,0.335936,0.2765835,0.01263205,0.02830905,0.02895525,0.006042885,0.635755,33.33408
249,0.69717,0.3356935,0.2764795,0.01212425,0.02706495,0.02766145,0.006056406,0.63724,33.40128
250,0.69707,0.335545,0.2764685,0.0116328,0.0258731,0.0264251,0.006068667,0.63858,33.46104
251,0.697015,0.335485,0.276547,0.01115775,0.02473205,0.02524425,0.006079729,0.639785,33.51408
252,0.697,0.335509,0.276709,0.01069905,0.02364035,0.02411695,0.006089615,0.64085,33.5604
253,0.69702,0.335613,0.2769505,0.01025655,0.0225963,0.0230412,0.006098396,0.64179,33.60048
254,0.69708,0.335792,0.277267,0.0098301,0.0215984,0.02201505,0.006106083,0.64261,33.63456
255,0.69717,0.336043,0.2776545,0.0094194,0.02064505,0.02103655,0.00611274,0.64331,33.66288
256,0.69729,0.336361,0.2781095,0.0090243,0.01973455,0.02010365,0.006118406,0.643905,33.68568
257,0.697445,0.3367435,0.2786285,0.00864435,0.01886535,0.0192146,0.006123104,0.64439,33.70344
258,0.69763,0.3371865,0.2792075,0.00827935,0.0180358,0.01836745,0.006126896,0.64478,33.7164
259,0.69784,0.3376865,0.279843,0.0079289,0.01724435,0.0175604,0.006129802,0.64507,33.72456
